Content_ID,Reaction_Type,Datetime,Content_ID2,Content_Type,Category,Reaction_Type2,Sentiment,Score
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,43:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,dislike,22:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,dislike,negative,10
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,13:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,disgust,13:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,disgust,negative,0
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,25:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,27:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,35:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,32:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,54:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,love,05:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,love,positive,65
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,36:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,28:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,16:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,39:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,51:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,09:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,24:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,37:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,44:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,03:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,peeking,26:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,peeking,neutral,35
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,47:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,like,46:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,like,positive,50
97522e57-d9ab-4bd6-97bf-c24d952602d2,heart,29:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,heart,positive,60
97522e57-d9ab-4bd6-97bf-c24d952602d2,worried,21:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,worried,negative,12
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,44:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,hate,05:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,hate,negative,5
97522e57-d9ab-4bd6-97bf-c24d952602d2,cherish,58:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,cherish,positive,70
97522e57-d9ab-4bd6-97bf-c24d952602d2,super love,57:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,super love,positive,75
97522e57-d9ab-4bd6-97bf-c24d952602d2,intrigued,21:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,intrigued,positive,45
97522e57-d9ab-4bd6-97bf-c24d952602d2,scared,48:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,scared,negative,15
97522e57-d9ab-4bd6-97bf-c24d952602d2,interested,40:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,interested,positive,30
97522e57-d9ab-4bd6-97bf-c24d952602d2,indifferent,21:00.0,97522e57-d9ab-4bd6-97bf-c24d952602d2,photo,Studying,indifferent,neutral,20
